2026-02-06 09:59:03 INFO  searchSeleniumTest - Setting up the browser
2026-02-06 09:59:03 INFO  searchSeleniumTest - Setting up the browser
2026-02-06 09:59:49 INFO  searchSeleniumTest - TEST: Serach Selenium Java in search bar
2026-02-06 09:59:49 INFO  HomePage           - PAGE: Searching for: Selenium Java
2026-02-06 09:59:54 INFO  searchSeleniumTest - TEST: Serach Selenium Java in search bar
2026-02-06 09:59:54 INFO  HomePage           - PAGE: Searching for: Selenium Java
2026-02-06 10:00:33 INFO  SearchResultPage   - PAGE: filtering based on duration of course
2026-02-06 10:00:34 INFO  SearchResultPage   - PAGE: Printing the first course title in the console
2026-02-06 10:00:35 INFO  searchSeleniumTest - Closing the browser
2026-02-06 10:00:38 INFO  SearchResultPage   - PAGE: filtering based on duration of course
2026-02-06 10:00:38 INFO  SearchResultPage   - PAGE: Printing the first course title in the console
2026-02-06 10:00:39 INFO  searchSeleniumTest - Closing the browser
2026-02-06 10:00:39 INFO  findLevelTest      - Setting up the browser
2026-02-06 10:00:42 INFO  findLevelTest      - Setting up the browser
2026-02-06 10:01:24 INFO  findLevelTest      - TEST: Extracting the level of the first Python course
2026-02-06 10:01:24 INFO  HomePage           - PAGE: Selecting the first python course
2026-02-06 10:01:28 INFO  findLevelTest      - TEST: Extracting the level of the first Python course
2026-02-06 10:01:28 INFO  HomePage           - PAGE: Selecting the first python course
2026-02-06 10:02:08 INFO  PythonPage         - PAGE: Switching tab after clicking first Python course
2026-02-06 10:02:08 INFO  PythonPage         - PAGE: Printing the level of the course in console
2026-02-06 10:02:12 INFO  PythonPage         - PAGE: Switching tab after clicking first Python course
2026-02-06 10:02:12 INFO  PythonPage         - PAGE: Printing the level of the course in console
2026-02-06 10:02:52 INFO  findLevelTest      - Closing the browser
2026-02-06 10:02:56 INFO  findLevelTest      - Closing the browser
2026-02-06 10:02:57 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:02:57 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:02:57 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:02:57 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:02:57 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:03:04 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:03:04 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:03:04 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:03:04 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:03:04 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:03:46 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:03:46 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:03:46 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:03:46 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:03:46 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:03:46 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:03:46 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:03:46 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:03:46 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:03:46 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:03:53 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:03:53 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:03:54 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:03:54 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:03:54 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:03:54 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:03:54 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:03:54 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:03:55 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:03:55 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:04:31 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 10:04:31 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 10:04:31 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 10:04:31 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 10:04:32 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 10:04:32 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 10:04:32 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 10:04:32 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 10:04:32 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 10:04:32 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 10:04:40 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 10:04:40 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 10:04:40 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 10:04:40 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 10:04:41 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 10:04:41 INFO  UniversityPage     - PAGE: Click contactUs button
