2026-02-06 10:06:26 INFO  searchSeleniumTest - Setting up the browser
2026-02-06 10:06:26 INFO  searchSeleniumTest - Setting up the browser
2026-02-06 10:07:12 INFO  searchSeleniumTest - TEST: Serach Selenium Java in search bar
2026-02-06 10:07:13 INFO  HomePage           - PAGE: Searching for: Selenium Java
2026-02-06 10:07:13 INFO  searchSeleniumTest - TEST: Serach Selenium Java in search bar
2026-02-06 10:07:13 INFO  HomePage           - PAGE: Searching for: Selenium Java
2026-02-06 10:07:57 INFO  SearchResultPage   - PAGE: filtering based on duration of course
2026-02-06 10:07:57 INFO  SearchResultPage   - PAGE: Printing the first course title in the console
2026-02-06 10:07:58 INFO  SearchResultPage   - PAGE: filtering based on duration of course
2026-02-06 10:07:58 INFO  searchSeleniumTest - Closing the browser
2026-02-06 10:07:59 INFO  SearchResultPage   - PAGE: Printing the first course title in the console
2026-02-06 10:08:00 INFO  searchSeleniumTest - Closing the browser
2026-02-06 10:08:02 INFO  findLevelTest      - Setting up the browser
2026-02-06 10:08:03 INFO  findLevelTest      - Setting up the browser
2026-02-06 10:08:47 INFO  findLevelTest      - TEST: Extracting the level of the first Python course
2026-02-06 10:08:47 INFO  HomePage           - PAGE: Selecting the first python course
2026-02-06 10:08:49 INFO  findLevelTest      - TEST: Extracting the level of the first Python course
2026-02-06 10:08:49 INFO  HomePage           - PAGE: Selecting the first python course
2026-02-06 10:09:32 INFO  PythonPage         - PAGE: Switching tab after clicking first Python course
2026-02-06 10:09:32 INFO  PythonPage         - PAGE: Printing the level of the course in console
2026-02-06 10:09:33 INFO  PythonPage         - PAGE: Switching tab after clicking first Python course
2026-02-06 10:09:33 INFO  PythonPage         - PAGE: Printing the level of the course in console
2026-02-06 10:10:15 INFO  findLevelTest      - Closing the browser
2026-02-06 10:10:17 INFO  findLevelTest      - Closing the browser
2026-02-06 10:10:22 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:10:22 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:10:22 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:10:22 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:10:22 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:10:22 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:10:22 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:10:22 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:10:22 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:10:22 INFO  FillFormTest       - Setting up the browser
2026-02-06 10:11:24 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:11:24 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:11:24 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:11:24 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:11:24 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:11:24 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:11:24 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:11:24 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:11:24 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:11:24 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:11:24 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:11:24 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:11:24 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:11:24 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:11:24 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:11:24 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:11:24 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:11:24 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:11:24 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 10:11:24 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 10:12:13 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 10:12:13 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 10:12:13 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 10:12:13 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 10:12:14 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 10:12:14 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 10:12:14 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 10:12:14 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 10:12:14 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 10:12:14 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 10:12:14 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 10:12:14 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 10:12:15 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 10:12:15 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 10:12:16 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 10:12:16 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 10:12:17 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 10:12:17 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 10:12:17 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 10:12:17 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 10:12:56 INFO  FillFormTest       - TEST: fill the form
2026-02-06 10:12:56 INFO  FormPage           - PAGE: Filling the form
2026-02-06 10:12:56 INFO  FillFormTest       - TEST: fill the form
2026-02-06 10:12:56 INFO  FormPage           - PAGE: Filling the form
2026-02-06 10:12:57 INFO  FillFormTest       - TEST: fill the form
2026-02-06 10:12:57 INFO  FormPage           - PAGE: Filling the form
2026-02-06 10:12:57 INFO  FillFormTest       - TEST: fill the form
2026-02-06 10:12:57 INFO  FormPage           - PAGE: Filling the form
2026-02-06 10:12:57 INFO  FillFormTest       - TEST: fill the form
2026-02-06 10:12:57 INFO  FormPage           - PAGE: Filling the form
2026-02-06 10:12:58 INFO  FillFormTest       - TEST: fill the form
2026-02-06 10:12:58 INFO  FormPage           - PAGE: Filling the form
2026-02-06 10:12:59 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 10:12:59 INFO  FormPage           - PAGE: Click submit button
2026-02-06 10:12:59 INFO  FillFormTest       - TEST: fill the form
2026-02-06 10:12:59 INFO  FormPage           - PAGE: Filling the form
2026-02-06 10:12:59 INFO  FormPage           - PAGE: Return the alert
2026-02-06 10:12:59 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 10:12:59 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 10:13:00 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 10:13:00 INFO  FormPage           - PAGE: Click submit button
2026-02-06 10:13:00 INFO  FillFormTest       - TEST: fill the form
2026-02-06 10:13:00 INFO  FormPage           - PAGE: Filling the form
2026-02-06 10:13:00 INFO  FillFormTest       - Closing the browser
2026-02-06 10:13:00 INFO  FormPage           - PAGE: Return the alert
2026-02-06 10:13:00 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 10:13:00 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 10:13:00 INFO  FillFormTest       - TEST: fill the form
2026-02-06 10:13:00 INFO  FormPage           - PAGE: Filling the form
2026-02-06 10:13:00 INFO  FillFormTest       - Closing the browser
2026-02-06 10:13:00 INFO  FillFormTest       - TEST: fill the form
2026-02-06 10:13:00 INFO  FormPage           - PAGE: Filling the form
2026-02-06 10:13:00 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 10:13:00 INFO  FormPage           - PAGE: Click submit button
2026-02-06 10:13:01 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 10:13:01 INFO  FormPage           - PAGE: Click submit button
2026-02-06 10:13:01 INFO  FormPage           - PAGE: Return the alert
2026-02-06 10:13:01 INFO  FormPage           - PAGE: Return the alert
2026-02-06 10:13:01 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 10:13:01 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 10:13:01 INFO  FillFormTest       - Closing the browser
2026-02-06 10:13:01 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 10:13:01 INFO  FormPage           - PAGE: Click submit button
2026-02-06 10:13:02 INFO  FormPage           - PAGE: Return the alert
2026-02-06 10:13:02 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 10:13:02 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 10:13:02 INFO  FillFormTest       - Closing the browser
2026-02-06 10:13:02 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 10:13:02 INFO  FormPage           - PAGE: Click submit button
2026-02-06 10:13:03 INFO  FormPage           - PAGE: Return the alert
2026-02-06 10:13:03 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 10:13:03 INFO  FormPage           - PAGE: Click submit button
2026-02-06 10:13:03 INFO  FormPage           - PAGE: Return the alert
2026-02-06 10:13:03 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 10:13:03 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 10:13:04 INFO  FillFormTest       - Closing the browser
2026-02-06 10:13:04 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 10:13:04 INFO  FormPage           - PAGE: Click submit button
2026-02-06 10:13:04 INFO  FormPage           - PAGE: Return the alert
2026-02-06 10:13:04 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 10:13:04 INFO  FormPage           - PAGE: Click submit button
2026-02-06 10:13:04 INFO  FormPage           - PAGE: Return the alert
2026-02-06 10:13:04 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 10:13:04 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 10:13:04 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 10:13:04 INFO  FormPage           - PAGE: Click submit button
2026-02-06 10:13:04 INFO  FillFormTest       - Closing the browser
2026-02-06 10:13:04 INFO  FormPage           - PAGE: Return the alert
2026-02-06 10:13:11 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 10:13:11 INFO  FillFormTest       - TEST: If the test is positive, if the alert is not present, resultMessage will be 'PASS'
2026-02-06 10:13:11 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 10:13:11 INFO  FillFormTest       - Closing the browser
2026-02-06 10:13:13 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 10:13:13 INFO  FillFormTest       - TEST: If the test is positive, if the alert is not present, resultMessage will be 'PASS'
2026-02-06 10:13:13 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 10:13:13 INFO  FillFormTest       - Closing the browser
2026-02-06 10:13:14 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 10:13:14 INFO  FillFormTest       - TEST: If the test is positive, if the alert is not present, resultMessage will be 'PASS'
2026-02-06 10:13:14 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 10:13:14 INFO  FillFormTest       - Closing the browser
2026-02-06 10:13:14 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 10:13:14 INFO  FillFormTest       - TEST: If the test is positive, if the alert is not present, resultMessage will be 'PASS'
2026-02-06 10:13:14 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 10:13:14 INFO  FillFormTest       - Closing the browser
